TAR_NAME,RA,DEC,TAR_TYPE,MAGNITUDE,SPEC_TYPE,T_0,PERIOD,DEPTH1,DEPTH2,WIDTH1,WIDTH2,PHASE2,NOTES,MAG_SOURCE
EPIC 228765921,12:48:50.854,-08:13:15.38,EB,11.409,,2457586.662,8.6449,0.184,0.193,0.0284,0.0307,0.4846,,APASS
EPIC 228865343,12:30:18.220,-04:02:50.89,EB,11.024,,2457583.061,14.4898,0.28,0.279,0.0247,0.024,0.1109,,APASS
EPIC 230814555,17:08:50.435,-18:51:50.48,EB,11.481,,2457657.521,13.6279,0.349,0.2,0.0112,0.0195,0.1462,,APASS
EPIC 245986045,23:32:17.117,-09:50:40.62,EB,12.052,,2457742.331,8.3757,0.394,0.386,0.0329,0.0366,0.5,,APASS
EPIC 245996208,23:23:03.070,-09:34:58.56,EB,12.56,,2457775.532,40.0561,0.223,0.165,0.0082,0.0094,0.5764,,APASS
EPIC 246023698,23:22:46.567,-08:53:00.16,EB,12.722,,2457747.827,11.5622,0.407,0.078,0.0212,0.0203,0.4926,,APASS
EPIC 246024234,23:19:22.098,-08:52:13.52,EB,10.252,,2457743.449,6.0618,0.268,0.236,0.0438,0.0438,0.498,,APASS
EPIC 246110750,23:04:11.842,-06:54:11.64,EB,11.943,,2457738.535,6.0317,0.157,0.094,0.0271,0.031,0.5005,,APASS
EPIC 246742424,05:01:28.286,+15:05:28.67,EB,9.207,,2457823.902,16.4119,0.265,0.131,0.0162,0.033,0.644,,SOURCE
EPIC 246746069,04:52:03.684,+15:08:02.14,EB,13.378,,2457829.081,39.2086,0.387,0.103,0.0057,0.0149,0.3554,,APASS
EPIC 246798394,04:51:38.146,+15:43:31.42,EB,13.092,,2457835.722,17.6768,0.119,0.119,0.0081,0.0121,0.4999,,APASS
EPIC 246887507,05:11:51.018,+16:37:57.17,EB,12.493,,2457822.497,11.4597,0.418,0.402,0.0321,0.0383,0.3169,,APASS
EPIC 246891964,04:43:27.318,+16:40:32.90,EB,11.874,,2457835.252,30.4384,0.355,0.276,0.0356,0.0191,0.6833,,APASS
EPIC 247131913,05:20:31.708,+18:58:27.75,EB,12.999,,2457830.313,26.5537,0.405,0.156,0.01,0.0204,0.8389,,APASS
EPIC 247212019,05:17:14.564,+19:44:18.21,EB,12.675,,2457832.555,36.1033,0.125,0.081,0.0091,0.0093,0.499,,APASS
EPIC 247249467,05:18:37.386,+20:05:27.75,EB,12.534,,2457826.334,25.3405,0.328,0.232,0.0161,0.0226,0.5878,,APASS
EPIC 247332572,04:54:42.743,+20:50:14.31,EB,12.895,,2457828.387,34.6243,0.383,0.171,0.0266,0.0254,0.4363,,APASS
EPIC 247449254,04:59:37.946,+21:47:48.90,EB,11.956,,2457829.817,16.5931,0.274,0.116,0.0172,0.0321,0.5338,,APASS
EPIC 247487809,04:58:26.918,+22:06:00.92,EB,12.83,,2457833.832,18.9318,0.188,0.101,0.0216,0.0184,0.5412,,APASS
EPIC 247766677,04:28:52.356,+24:10:43.97,EB,11.945,,2457825.628,37.7985,0.12,0.116,0.0122,0.0097,0.5003,,APASS
EPIC 248189363,04:43:16.162,+27:22:51.08,EB,13.308,,2457826.118,6.2986,0.341,0.223,0.0423,0.0422,0.4996,,TASS4 V
EPIC 248459053,10:28:03.432,+01:47:50.46,EB,11.081,,2457908.517,16.7745,0.362,0.289,0.017,0.0195,0.3508,,APASS
EPIC 248536880,10:30:53.975,+04:12:09.67,EB,12.515,,2457913.232,32.3996,0.207,0.054,0.0095,0.0161,0.6078,,APASS
EPIC 248904025,10:54:07.218,+13:21:55.62,EB,11.858,,2457918.529,13.8144,0.189,0.132,0.0177,0.0214,0.5435,,APASS
EPIC 206433263,22:36:00.52,-06:04:49.6,EB,12.26,G2,2457002.572,21.1939,0.26,0.16,0.02,0.017,0.482,"Total, SB2, Q_2 done",APASS
EPIC 212290847,13:31:07.22,-17:48:40.8,EB,12.316,F8,2457255.878,8.39497,0.16,0.16,0.034,0.033,0.507,--,SOURCE
EPIC 212370052,13:26:08.34,-15:37:35.7,EB,13.22,G8,2457261.967,7.7743,0.39,0.28,0.036,0.037,0.5,"Prot~8.0, total",APASS
EPIC 212537106,13:40:48.58,-11:56:43.4,EB,13.211,G8,2457218.117,9.2619,0.19,0.075,0.034,0.034,0.5,"Prot~10.3, total",APASS
EPIC 212559866,13:32:10.95,-11:27:46.2,EB,11.864,G2,2457238.306,19.7021,0.13,0.12,0.022,0.022,0.538,--,SOURCE
EPIC 212727054,13:25:21.04,-07:35:02.9,EB,8.675,F2,2457237.57,15.4975,0.15,0.15,0.018,0.018,0.522,"UVX, dbl, WASP data ok, total",SOURCE
EPIC 212770429,13:50:25.47,-06:24:12.1,EB,11.342,G5,2457228.444,40.4534,0.24,0.23,0.01,0.01,0.5,Prot~12.7,APASS
EPIC 213273052,19:08:24.89,-30:01:56.3,EB,11.626,G8,2457347.897,33.6908,0.48,0.4,0.024,0.018,0.5561,--,SOURCE
EPIC 213601365,19:21:18.36,-28:51:58.6,EB,10.444,F0,2457335.96,71.27,0.38,0.14,0.009,0.025,0.5598,--,SOURCE
EPIC 214343851,19:15:36.93,-26:43:47.8,EB,11.453,F5,2457340.307,5.5309,0.45,0.3,0.045,0.045,0.5,--,APASS
EPIC 214417858,18:44:12.19,-26:32:34.1,EB,11.863,G0,2457320.068,13.889,0.37,0.35,0.031,0.036,0.2875,"Pulsations, 1.2c/d, 500ppm",SOURCE
EPIC 214675496,19:10:56.84,-25:54:39.6,EB,8.707,A2,2457343.872,11.7902,0.34,0.23,0.033,0.032,0.435,"V5570 Sgr, Pulsations?, total",SOURCE
EPIC 217783102,19:17:13.87,-19:58:11.4,EB,10.903,K2,2457348.284,6.99364,0.13,0.1,0.023,0.023,0.5205,Prot~7.1,APASS
EPIC 218070138,18:49:00.71,-19:27:49.7,EB,11.977,G2,2457333.506,15.1017,0.41,0.34,0.0266,0.027,0.839,Total,SOURCE
EPIC 218796935,19:12:43.64,-18:08:12.0,EB,11.515,F2,2457359.673,46.58231,0.58,0.35,0.021,0.013,0.5173,--,SOURCE
EPIC 220219177,01:17:26.42,+00:40:45.7,EB,12,G0,2457392.482,8.36,0.26,0.27,0.034,0.029,0.557,"Spots, SB2, Q_1+Q_2 done",APASS
EPIC 220544503,00:42:20.64,+07:45:57.1,EB,12.39,G5,2457466.5,28.9219,0.22,0.06,0.009,0.011,0.4332,--,APASS
EPIC 201293970,12:13:46.16,-02:32:24.4,EB,12.276,F8,2457621.751,9.06812,0.17,0.14,0.035,0.023,0.2655,--,APASS
EPIC 228865343,12:30:18.22,-04:02:50.9,EB,10.895,G0,2457625.737,15.2897,0.35,0.28,0.018,0.022,0.209,--,SOURCE
EPIC 204511503,16:57:48.38,-22:02:25.6,EB,11.441,F8,2457685.808,13.0606,0.25,0.25,0.037,0.037,0.5,--,SOURCE
EPIC 227264867,17:27:47.07,-18:34:54.5,EB,10.39,G8,2457674.867,9.1269,0.24,0.2,0.031,0.032,0.7424,Total,SOURCE
EPIC 227506998,17:33:16.83,-17:58:47.9,EB,12.954,K7,2457701.995,10.10022,0.38,0.28,0.016,0.022,0.4905,"Prot~9.9, total",SOURCE
EPIC 230814555,17:08:50.43,-18:51:50.5,EB,11.399,G2,2457671.152,13.634,0.35,0.2,0.016,0.02,0.1462,Prot~2.7,SOURCE
EPIC 231856972,16:56:05.90,-28:21:48.5,EB,10.601,F5,2457693.478,16.3536,0.39,0.4,0.026,0.058,0.7027,"CY Oph, total",APASS
EPIC 245986045,23:32:17.12,-09:50:40.6,EB,11.956,G8,2457775.839,8.37567,0.4,0.39,0.034,0.034,0.5,"Prot~8.6,Px2?",SOURCE
EPIC 245996208,23:23:03.07,-09:34:58.6,EB,12.432,G2,2457775.53,40.0592,0.22,0.17,0.008,0.01,0.5765,--,SOURCE
EPIC 246023698,23:22:46.57,-08:53:00.2,EB,12.503,G8,2457770.952,11.56185,0.41,0.07,0.02,0.021,0.496,"Prot~6.7d, total, SB2, Q_1 done",SOURCE
EPIC 246024234,23:19:22.10,-08:52:13.5,EB,10.145,F5,2457767.69,6.06202,0.27,0.24,0.045,0.045,0.5,"Prot~6.0d, SB2, Q_1+Q_2 done",SOURCE
EPIC 246110750,23:04:11.84,-06:54:11.6,EB,11.752,G5,2457774.722,6.03208,0.16,0.1,0.03,0.029,0.501,"Prot~6.8d, SB3, Q_1 done",SOURCE
EPIC 246433616,23:22:18.60,+00:03:47.1,EB,11.991,K2,2457759.903,9.6878,0.46,0.2,0.025,0.022,0.481,"Prot~13d, SB2, Q_1+Q_2 done",APASS
EPIC 204026146,15:57:26.95,-23:57:36.5,EB,13.26,K7,2458039.138,14.7055,0.24,0.11,0.044,0.041,0.5068,"Prot~18, total",APASS
EPIC 249199842,15:21:19.30,-25:40:39.5,EB,12.683,G8,2458031.222,5.202337,0.37,0.12,0.036,0.044,0.375,--,APASS
EPIC 249331595,15:29:50.67,-23:56:53.3,EB,10.592,F5,2457997.094,27.9547,0.35,0.34,0.021,0.021,0.681,Pulsations,APASS
EPIC 249800265,15:32:07.61,-17:53:41.7,EB,12.112,G0,2458060.671,9.867038,0.14,0.13,0.033,0.033,0.512,Spots?,APASS
EPIC 201246763,11:58:05.95,-03:15:28.1,EB,12.006,~,2456847.326,43.68000031,0.35,0.31,0.008,0.014,0.258,--,APASS
EPIC 201253025,11:57:19.84,-03:09:42.5,EB,12.957,~,2456844.337,6.789999962,0.26,0.24,0.042,0.046,0.494,"Prot = 6.5, 7.2 d",APASS
EPIC 201408204,11:30:03.23,-00:50:04.0,EB,11.996,~,2456835.458,8.479999542,0.42,0.39,0.031,0.036,0.611,"Prot = 7.4, 8.4 d, total",APASS
EPIC 201488365,11:12:45.09,+00:20:52.8,EB,8.481,F7V,2456852.595,6.730000019,0.36,0.36,0.048,0.048,0.5,FM Leo,APASS
EPIC 201648133,11:11:33.46,+02:47:13.4,EB,10.337,~,2456848.814,35.02000046,0.41,0.21,0.012,0.011,0.487,"Period constraint from WASP data, total",APASS
EPIC 202674012,16:39:03.40,-28:47:13.4,EB,9.764,F3(V),2456909.361,23.30999947,0.24,0.22,0.022,0.021,0.497,HD 149946. FEROS spectra,APASS
EPIC 202843085,16:43:17.86,-28:09:42.8,EB,11.904,--,2456910.357,16.5,0.38,0.38,0.03,0.034,0.448,--,APASS
EPIC 203361171,15:56:02.96,-26:23:54.9,EB,11.881,~,2456901.815,7.320000172,0.11,0.11,0.038,0.038,0.489,--,APASS
EPIC 203371239,16:16:39.38,-26:21:55.8,EB,12.077,~,2456911.988,20.36000061,0.35,0.35,0.025,0.022,0.5,"Pulsations, total",APASS
EPIC 203728604,16:49:08.37,-25:08:31.4,EB,10.696,F,2456899.859,36.11000061,0.15,0.12,0.018,0.024,0.321,"Prot = 2.3 d (pulsations?), total",APASS
EPIC 204760247,15:57:40.46,-20:58:59.1,EB,6.234,B3V,2456912.756,9.199999809,0.38,0.15,0.04,0.04,0.5,"HD 142883. Pulsations. FEROS spectra, total",APASS
EPIC 204822807,16:12:35.59,-20:42:15.7,EB,12.125,--,2456940.399,67.52999878,0.3,0.13,0.02,0.018,0.448,"Solar-like pulsations, total",APASS
EPIC 206109641,22:29:16.89,-11:51:29.0,EB,12.514,~,2457011.175,62.59000015,0.46,0.4,0.008,0.008,0.123,"Period from K2+WASP data, total",APASS
EPIC 206433263,22:36:00.52,-06:04:49.7,EB,12.01,~,2457002.572,21.19000053,0.26,0.16,0.02,0.017,0.482,Total,SOURCE
KIC 8364119,19:25:05.71,+44:22:16.3,EB,12.571,--,2454955.515,7.7359104,0.2981,0.244,0.0217,0.0254,0.5119,--,APASS
KIC 5781192,19:14:47.38,+41:03:33.1,EB,13.153,--,2454961.883,9.4599934,0.2192,0.1307,0.0201,0.0175,0.5202,--,APASS
KIC 11285625,19:00:51.89,+49:05:22.2,EB,10.161,--,2454975.335,10.7904443,0.1157,0.089,0.0251,0.0245,0.4996,--,TASS4 V
KIC 5632781,19:41:45.19,+40:50:37.0,EB,12.269,--,2454975.74,11.0252022,0.395,0.3766,0.04,0.0457,0.6609,--,APASS
KIC 7846730,19:55:25.44,+43:32:13.2,EB,13.438,--,2454958.938,11.0282266,0.2687,0.1715,0.0278,0.0265,0.4875,--,APASS
KIC 3102024,19:09:25.46,+38:12:43.9,EB,12.83,--,2454958.697,13.7825215,0.219,0.1542,0.0202,0.0075,0.6986,--,APASS
KIC 6522750,19:27:42.94,+41:57:23.0,EB,11.365,--,2454968.745,17.4456414,0.2998,0.1523,0.0129,0.0137,0.5449,--,APASS
KIC 6131659,19:37:06.98,+41:26:12.8,EB,12.295,--,2454960.041,17.5278303,0.3205,0.1036,0.0114,0.0111,0.4998,--,APASS
KIC 9474969,19:42:30.94,+46:03:05.0,EB,12.545,--,2454984.793,21.5705056,0.1387,0.127,0.0251,0.0223,0.7567,--,APASS
KIC 7821010,19:25:16.78,+43:35:43.8,EB,10.842,--,2454969.616,24.2382426,0.4208,0.3455,0.0059,0.0222,0.7637,--,APASS
KIC 10849244,19:03:54.79,+48:13:31.8,EB,12.424,--,2454955.979,24.261683,0.1831,0.1543,0.0102,0.0115,0.3946,--,TASS4 V
KIC 3858884,19:34:46.90,+38:58:58.1,EB,9.334,--,2454961.929,25.9519309,0.3731,0.3025,0.0207,0.0293,0.7705,--,TASS4 V
KIC 4847832,19:40:18.38,+39:57:29.9,EB,12.45,--,2454972.434,30.9602366,0.3563,0.32,0.0073,0.0166,0.5402,--,SOURCE
KIC 11923819,19:45:51.43,+50:17:10.3,EB,11.459,--,2454959.652,33.1595125,0.2109,0.1078,0.0094,0.0123,0.3353,--,APASS
KIC 7677005,19:19:39.79,+43:23:26.9,EB,12.157,--,2454975.409,38.058139,0.2862,0.1707,0.0082,0.0112,0.7943,--,APASS
KIC 10909274,19:03:54.29,+48:19:14.9,EB,12.183,--,2454981.651,39.2381401,0.4072,0.3209,0.0052,0.0187,0.1674,--,TASS4 V
KIC 6864859,19:29:24.05,+42:23:36.2,EB,11.62,--,2454955.556,40.8778427,0.2285,0.2426,0.0088,0.0083,0.875,--,APASS
KIC 8553907,19:17:55.01,+44:37:53.0,EB,12.748,--,2454957.883,42.0322129,0.3759,0.3432,0.0062,0.0104,0.2067,--,APASS
KIC 11959569,19:17:34.61,+50:22:05.2,EB,12.463,--,2454960.1,46.1487411,0.3558,0.1879,0.0139,0.0168,0.4178,--,APASS
KIC 2576692,19:26:34.32,+37:48:51.5,EB,12.744,--,2455027.107,87.8785329,0.3189,0.2588,0.0049,0.0068,0.4089,--,SOURCE
SW0019+31,00:19:04.13,+31:54:17.6,EB,10.501,A9-F0,2453181.632,18.1244,0.25,0.2,0.029,0.028,0.5,--,APASS
SW0031+36,00:31:46.20,+36:52:16.2,EB,10.468,F6-F9,2455405.998,6.582216,0.18,0.08,0.038,0.032,0.501,"Q_1+Q_2, SB2,Total",APASS
SW0040-06,00:40:32.41,-06:28:51.0,EB,10.553,F5-F7,2456329.41,13.12815,0.29,0.24,0.019,0.024,0.789,--,APASS
SW0045+35,00:45:39.40,+35:36:32.4,EB,11.54,F5-F6,2456397.472,11.864963,0.29,0.28,0.042,0.018,0.374,--,APASS
SW0101+21,01:01:22.60,+21:29:52.2,EB,11.196,G5-G8,2455501.741,6.9939048,0.58,0.64,0.032,0.032,0.505,--,APASS
SW0225-09,02:25:20.78,-09:51:29.4,EB,10.872,F5-F6,2454970.376,7.44668,0.18,0.19,0.027,0.029,0.5,--,APASS
SW0259+20,02:59:13.28,+20:34:53.9,EB,12.364,F2-K7,2454084.371,7.7482,0.22,0.1,0.027,0.038,0.51,Total,APASS
SW0520+02,05:20:09.14,+02:02:39.9,EB,9.99,F7-G2,2455214.423,6.936846,0.71,0.55,0.036,0.031,0.531,--,APASS
SW0548-25,05:48:17.06,-25:02:30.6,EB,11.448,F6-F6,2454860.515,10.64942,0.69,0.6,0.028,0.03,0.448,--,APASS
SW0614-21,06:14:58.89,-21:22:40.6,EB,12.646,F7-G1,2454999.152,9.5235,0.23,0.19,0.02,0.021,0.425,--,APASS
SW0615-24,06:15:59.79,-24:52:22.2,EB,11.076,F8-G0,2455193.095,10.51821,0.39,0.33,0.028,0.035,0.689,--,APASS
SW0637-25,06:37:58.88,-25:04:39.5,EB,12.344,F6-G0,2454553.4,12.2428,0.21,0.14,0.022,0.02,0.649,Total,APASS
SW0716+20,07:16:10.73,+20:20:36.4,EB,10.079,F0-F3,2455562.562,19.9385,0.23,0.19,0.021,0.019,0.425,--,APASS
SW0756+29,07:56:01.93,+29:13:41.3,EB,12.637,F6-F9,2455799.511,7.696711,0.31,0.22,0.027,0.031,0.493,--,APASS
SW0828-13,08:28:35.23,-13:51:13.9,EB,11.502,A5-A7,2455474.506,7.30885,0.6,0.24,0.04,0.029,0.484,--,APASS
SW0935-19,09:35:11.68,-19:10:55.5,EB,12.316,G3-G7,2455656.127,8.375513,0.47,0.42,0.035,0.039,0.603,Total,APASS
SW0943-15,09:43:10.53,-15:03:02.9,EB,11.029,F1-F5,2455458.73,15.04552,0.29,0.2,0.017,0.031,0.489,Total,APASS
SW1046-28,10:46:22.74,-28:09:10.3,EB,10.865,F6-G0,2454972.122,7.126251,0.14,0.07,0.048,0.047,0.43,Total,APASS
SW1202-25,12:02:46.28,-25:29:30.5,EB,11.364,F1-F6,2455653.805,8.34975,0.35,0.14,0.034,0.032,0.393,Total,APASS
SW1555-12,15:55:11.98,-12:33:08.3,EB,11.353,F1-G1,2455011.368,12.9406,0.27,0.12,0.024,0.025,0.47,Total,APASS
SW1556+05,15:56:31.37,+05:27:56.5,EB,12.382,K0-K2,2455213.79,6.417986,0.62,0.06,0.029,0.029,0.5,--,APASS
SW1619-17,16:19:01.08,-17:16:24.4,EB,12.584,F5-G9,2454753.579,7.79267,0.34,0.3,0.036,0.02,0.295,--,APASS
SW1631+03,16:31:34.35,+03:38:58.7,EB,12.495,G8-K0,2455946.396,14.43584,0.15,0.14,0.013,0.012,0.742,--,APASS
SW1756+49,17:56:30.19,+49:19:35.5,EB,11.127,F6-F8,2454696.495,14.057153,0.5,0.4,0.02,0.021,0.32,--,APASS
SW1808+25,18:08:17.20,+25:05:27.9,EB,11.219,G2-G6,2455030.45,15.01775,0.52,0.08,0.011,0.015,0.844,Total,APASS
SW1851+55,18:51:03.66,+55:25:33.4,EB,11.39,G8-G9,2454441.651,30.8527,0.33,0.07,0.01,0.007,0.255,Total?,APASS
SW1943-20,19:43:58.90,-20:25:27.5,EB,12.56,G9-K2,2455148.447,14.79955,0.24,0.19,0.046,0.032,0.394,--,SOURCE
SW2032+19,20:32:04.97,+19:58:53.1,EB,9.506,A5-A7,2453890.271,10.03652,0.21,0.24,0.027,0.045,0.242,"Q_1+Q_2, SB3,Total",APASS
SW2040-14,20:40:57.79,-14:38:59.3,EB,11.547,G0-G1,2455720.167,6.96964,0.31,0.26,0.048,0.044,0.505,"Q_2, SB2,Total",APASS
SW2045+10,20:45:55.75,+10:15:38.5,EB,12.618,F1-F5,2456136.677,8.633436,0.33,0.18,0.024,0.04,0.644,--,APASS
SW2049+16,20:49:00.59,+16:13:48.1,EB,10.937,F1-F5,2454535.578,14.24962,0.49,0.47,0.04,0.041,0.502,"Q_1+Q_2, SB2",APASS
SW2051+03,20:51:16.66,+03:23:30.6,EB,10.781,G0-G6,2454975.108,7.620523,0.18,0.08,0.044,0.042,0.501,"Q_1+Q_2, SB2,Total",APASS
SW2100+13,21:00:02.57,+13:33:45.1,EB,11.07,A9-F3,2456075.286,7.663818,0.28,0.08,0.038,0.031,0.507,"Q_1+Q_2, SB2,Total",SOURCE
SW2106-08,21:06:57.91,-08:40:39.5,EB,11.457,F6-G0,2455280.178,6.431787,0.35,0.14,0.042,0.035,0.497,"Q_1+Q_2, SB2,Total",APASS
SW2114-06,21:14:35.16,-06:30:47.1,EB,11.66,F5-G1,2454681.889,13.13303,0.54,0.42,0.02,0.049,0.416,--,APASS
SW2229+25,22:29:12.93,+25:40:48.4,EB,11.906,F6-F9,2454826.121,7.855757,0.38,0.29,0.034,0.036,0.503,"Q_1+Q_2, SB2",APASS
SW2239+41,22:39:05.38,+41:53:27.2,EB,11.244,F4-G3,2454089.03,17.0779,0.24,0.11,0.015,0.016,0.743,"Q_1+Q_2, SB2",APASS
SW2302+35,23:02:36.97,+35:38:58.7,EB,12.203,F6-G0,2454169.115,10.22773,0.37,0.1,0.018,0.026,0.504,"Q_1+Q_2, SB2",APASS
SW2315+37,23:15:33.33,+37:18:46.5,EB,10.322,F7-G7,2453982.992,8.58533,0.24,0.2,0.036,0.038,0.578,"SB2, Q_1+Q_2,Total?",APASS
LY Peg,22:05:52.42,+12:02:01.7,EB,11.336,--,2455427.068,33.8731,0.1039,0.15358,0.028,0.029,0.66,Total,APASS
AI Phe,01:09:34.19,-46:15:56.0,EB,8.61,--,2455085.243,24.592,0.73398,0.23938,0.025,0.034,0.458,Orbital parameters are read from plots,SOURCE
LL Aqr,22:34:42.15,-03:35:58.2,EB,9.229,--,2454735.334,20.178,0.66032,0.3711,0.013,0.024,0.318,Orbital parameters are read from plots,APASS
WASP 0639-32,06:39:30.33,-32:24:04.8,EB,10.686,--,2455241.339,11.658,0.2211,0.07972,0.03,0.03,0.504,Total?,APASS
TZ For,03:14:40.09,-35:33:27.6,EB,6.921,--,2452599.29,75.666,0.15561,0.03871,0.02,0.022,0.45,--,APASS
